"","ï..ID","Age","Experience","Income","ZIP.Code","Family","CCAvg","Education","Mortgage","Personal.Loan","Securities.Account","CD.Account","Online","CreditCard","responsetime","problem_group","portion","time"
"1",1,25,1,49,91107,4,1.6,1,0,0,1,0,0,0,1938.10006996151,1,0.0735294117647059,2020-02-15 00:00:00
"2",2,45,19,34,90089,3,1.5,1,0,0,1,0,0,0,25.1651895558462,0,0,2020-02-15 00:02:52
"3",3,39,15,11,94720,1,1,1,0,0,0,0,0,0,2267.73955509998,4,0.279411764705882,2020-02-15 00:05:45
"4",4,35,9,100,94112,1,2.7,2,0,0,0,0,0,0,18.9320803340524,0,0,2020-02-15 00:08:38
"5",5,35,8,45,91330,4,1,2,0,0,0,0,0,1,25.6275430042297,0,0,2020-02-15 00:11:31
"6",6,37,13,29,92121,4,0.4,2,155,0,0,0,1,0,1373.88960467651,5,0.441176470588235,2020-02-15 00:14:24
"7",7,53,27,72,91711,2,1.5,2,0,0,0,0,1,0,26.8388414429501,0,0,2020-02-15 00:17:16
"8",8,50,24,22,93943,1,0.3,3,0,0,0,0,0,1,22.5883369194344,0,0,2020-02-15 00:20:09
"9",9,35,10,81,90089,3,0.6,2,104,0,0,0,1,0,26.1744931759313,0,0,2020-02-15 00:23:02
"10",10,34,9,180,93023,1,8.9,3,0,1,0,0,0,0,25.8141992101446,0,0,2020-02-15 00:25:55
"11",11,65,39,105,94710,4,2.4,3,0,0,0,0,0,0,25.7346699014306,0,0,2020-02-15 00:28:48
"12",12,29,5,45,90277,3,0.1,2,0,0,0,0,1,0,12.0728887571022,0,0,2020-02-15 00:31:40
"13",13,48,23,114,93106,2,3.8,3,0,0,1,0,0,0,16.0215700836852,0,0,2020-02-15 00:34:33
"14",14,59,32,40,94920,4,2.5,2,0,0,0,0,1,0,14.0876816911623,0,0,2020-02-15 00:37:26
"15",15,67,41,112,91741,1,2,1,0,0,1,0,0,0,26.8590145977214,0,0,2020-02-15 00:40:19
"16",16,60,30,22,95054,1,1.5,3,0,0,0,0,1,1,14.8265112424269,0,0,2020-02-15 00:43:12
"17",17,38,14,130,95010,4,4.7,3,134,1,0,0,0,0,25.3454195102677,0,0,2020-02-15 00:46:04
"18",18,42,18,81,94305,4,2.4,1,0,0,0,0,0,0,19.6922134840861,0,0,2020-02-15 00:48:57
"19",19,46,21,193,91604,2,8.1,3,0,1,0,0,0,0,12.6768208201975,0,0,2020-02-15 00:51:50
"20",20,55,28,21,94720,1,0.5,2,0,0,1,0,0,1,13.6377625027671,0,0,2020-02-15 00:54:43
"21",21,56,31,25,94015,4,0.9,2,111,0,0,0,1,0,15.0544494949281,0,0,2020-02-15 00:57:36
"22",22,57,27,63,90095,3,2,3,0,0,0,0,1,0,25.3103086957708,0,0,2020-02-15 01:00:28
"23",23,29,5,62,90277,1,1.2,1,260,0,0,0,1,0,10.0364998774603,0,0,2020-02-15 01:03:21
"24",24,44,18,43,91320,2,0.7,1,163,0,1,0,0,0,1476.49566940963,5,0.441176470588235,2020-02-15 01:06:14
"25",25,36,11,152,95521,2,3.9,1,159,0,0,0,0,1,18.5519314277917,0,0,2020-02-15 01:09:07
"26",26,43,19,29,94305,3,0.5,1,97,0,0,0,1,0,26.1893938947469,0,0,2020-02-15 01:12:00
"27",27,40,16,83,95064,4,0.2,3,0,0,0,0,0,0,16.678175884299,0,0,2020-02-15 01:14:52
"28",28,46,20,158,90064,1,2.4,1,0,0,0,0,1,1,12.1549110580236,0,0,2020-02-15 01:17:45
"29",29,56,30,48,94539,1,2.2,3,0,0,0,0,1,1,14.698855066672,0,0,2020-02-15 01:20:38
"30",30,38,13,119,94104,1,3.3,2,0,1,0,1,1,1,18.425929537043,0,0,2020-02-15 01:23:31
"31",31,59,35,35,93106,1,1.2,3,122,0,0,0,1,0,14.0218710387126,0,0,2020-02-15 01:26:24
"32",32,40,16,29,94117,1,2,2,0,0,0,0,1,0,14.7569279652089,0,0,2020-02-15 01:29:16
"33",33,53,28,41,94801,2,0.6,3,193,0,0,0,0,0,1332.67858056352,5,0.441176470588235,2020-02-15 01:32:09
"34",34,30,6,18,91330,3,0.9,3,0,0,0,0,0,0,13.0179044930264,0,0,2020-02-15 01:35:02
"35",35,31,5,50,94035,4,1.8,3,0,0,0,0,1,0,21.2459474755451,0,0,2020-02-15 01:37:55
"36",36,48,24,81,92647,3,0.7,1,0,0,0,0,0,0,19.530424317345,0,0,2020-02-15 01:40:48
"37",37,59,35,121,94720,1,2.9,1,0,0,0,0,0,1,2388.189985184,4,0.279411764705882,2020-02-15 01:43:40
"38",38,51,25,71,95814,1,1.4,3,198,0,0,0,0,0,13.1798393465579,0,0,2020-02-15 01:46:33
"39",39,42,18,141,94114,3,5,3,0,1,1,1,1,0,22.3176113003865,0,0,2020-02-15 01:49:26
"40",40,38,13,80,94115,4,0.7,3,285,0,0,0,1,0,19.0947850048542,0,0,2020-02-15 01:52:19
"41",41,57,32,84,92672,3,1.6,3,0,0,1,0,0,0,18.0450433632359,0,0,2020-02-15 01:55:12
"42",42,34,9,60,94122,3,2.3,1,0,0,0,0,0,0,12.8454353520647,0,0,2020-02-15 01:58:04
"43",43,32,7,132,90019,4,1.1,2,412,1,0,0,1,0,29.2433608090505,0,0,2020-02-15 02:00:57
"44",44,39,15,45,95616,1,0.7,1,0,0,0,0,1,0,27.0783845381811,0,0,2020-02-15 02:03:50
"45",45,46,20,104,94065,1,5.7,1,0,0,0,0,1,1,28.9990676753223,0,0,2020-02-15 02:06:43
"46",46,57,31,52,94720,4,2.5,1,0,0,0,0,0,1,2398.25483309105,4,0.279411764705882,2020-02-15 02:09:36
"47",47,39,14,43,95014,3,0.7,2,153,0,0,0,1,0,1496.91983335651,5,0.441176470588235,2020-02-15 02:12:28
"48",48,37,12,194,91380,4,0.2,3,211,1,1,1,1,1,24.2997951572761,0,0,2020-02-15 02:15:21
"49",49,56,26,81,95747,2,4.5,3,0,0,0,0,0,1,27.4278674460948,0,0,2020-02-15 02:18:14
"50",50,40,16,49,92373,1,1.8,1,0,0,0,0,0,1,16.4386818325147,0,0,2020-02-15 02:21:07
"51",51,32,8,8,92093,4,0.7,2,0,0,1,0,1,0,13.7045960500836,0,0,2020-02-15 02:24:00
"52",52,61,37,131,94720,1,2.9,1,0,0,0,0,1,0,2320.98897043616,4,0.279411764705882,2020-02-15 02:26:52
"53",53,30,6,72,94005,1,0.1,1,207,0,0,0,0,0,24.4319546921179,0,0,2020-02-15 02:29:45
"54",54,50,26,190,90245,3,2.1,3,240,1,0,0,1,0,15.2801387943327,0,0,2020-02-15 02:32:38
"55",55,29,5,44,95819,1,0.2,3,0,0,0,0,1,0,13.9908438408747,0,0,2020-02-15 02:35:31
"56",56,41,17,139,94022,2,8,1,0,0,0,0,1,0,16.7775503871962,0,0,2020-02-15 02:38:24
"57",57,55,30,29,94005,3,0.1,2,0,0,1,1,1,0,14.4398128427565,0,0,2020-02-15 02:41:16
"58",58,56,31,131,95616,2,1.2,3,0,1,0,0,0,0,22.0473685208708,0,0,2020-02-15 02:44:09
"59",59,28,2,93,94065,2,0.2,1,0,0,0,0,0,0,17.5282563781366,0,0,2020-02-15 02:47:02
"60",60,31,5,188,91320,2,4.5,1,455,0,0,0,0,0,2444.33377345558,3,0.132352941176471,2020-02-15 02:49:55
"61",61,49,24,39,90404,3,1.7,2,0,0,1,0,1,0,28.415896515362,0,0,2020-02-15 02:52:48
"62",62,47,21,125,93407,1,5.7,1,112,0,1,0,0,0,16.9147750129923,0,0,2020-02-15 02:55:40
"63",63,42,18,22,90089,1,1,1,0,0,0,0,0,0,20.1866451697424,0,0,2020-02-15 02:58:33
"64",64,42,17,32,94523,4,0,2,0,0,0,0,1,0,25.9446876868606,0,0,2020-02-15 03:01:26
"65",65,47,23,105,90024,2,3.3,1,0,0,0,0,0,0,27.5051685003564,0,0,2020-02-15 03:04:19
"66",66,59,35,131,91360,1,3.8,1,0,0,0,0,1,1,24.6504207001999,0,0,2020-02-15 03:07:12
"67",67,62,36,105,95670,2,2.8,1,336,0,0,0,0,0,29.8149236431345,0,0,2020-02-15 03:10:04
"68",68,53,23,45,95123,4,2,3,132,0,1,0,0,0,18.916683094576,0,0,2020-02-15 03:12:57
"69",69,47,21,60,93407,3,2.1,1,0,0,0,0,1,1,23.7874305807054,0,0,2020-02-15 03:15:50
"70",70,53,29,20,90045,4,0.2,1,0,0,0,0,1,0,28.8756187260151,0,0,2020-02-15 03:18:43
"71",71,42,18,115,91335,1,3.5,1,0,0,0,0,0,1,16.2129803141579,0,0,2020-02-15 03:21:36
"72",72,53,29,69,93907,4,1,2,0,0,0,0,1,0,19.2885325755924,0,0,2020-02-15 03:24:28
"73",73,44,20,130,92007,1,5,1,0,0,0,0,0,1,22.5130494870245,0,0,2020-02-15 03:27:21
"74",74,41,16,85,94606,1,4,3,0,0,0,0,1,1,22.0068728271872,0,0,2020-02-15 03:30:14
"75",75,28,3,135,94611,2,3.3,1,0,0,0,0,0,1,17.2047081030905,0,0,2020-02-15 03:33:07
"76",76,31,7,135,94901,4,3.8,2,0,1,0,1,1,1,12.4111944623291,0,0,2020-02-15 03:36:00
"77",77,58,32,12,91320,3,0.3,3,0,0,0,0,0,0,29.8762865737081,0,0,2020-02-15 03:38:52
"78",78,46,20,29,92220,3,0.5,2,0,0,0,0,0,0,15.264473631978,0,0,2020-02-15 03:41:45
"79",79,54,30,133,93305,2,2.6,3,0,1,0,0,0,0,19.8127866256982,0,0,2020-02-15 03:44:38
"80",80,50,26,19,94720,2,0.4,1,118,0,0,0,1,0,2389.53361641616,4,0.279411764705882,2020-02-15 03:47:31
"81",81,60,36,41,95134,4,1.3,1,174,0,0,0,1,1,1340.95963384025,5,0.441176470588235,2020-02-15 03:50:24
"82",82,47,22,40,94612,3,2.7,2,0,0,0,0,1,0,25.392382889986,0,0,2020-02-15 03:53:16
"83",83,41,16,82,92507,1,4,3,0,0,0,0,1,0,21.6719457972795,0,0,2020-02-15 03:56:09
"84",84,33,9,50,94305,1,2.4,2,0,0,0,0,0,0,29.2045913031325,0,0,2020-02-15 03:59:02
"85",85,46,22,18,91730,1,0.9,3,0,0,0,0,1,0,23.4986052662134,0,0,2020-02-15 04:01:55
"86",86,27,2,109,94005,4,1.8,3,0,0,0,0,0,0,22.3174378136173,0,0,2020-02-15 04:04:48
"87",87,40,16,42,94501,4,2.2,2,126,0,0,0,0,0,11.8024685140699,0,0,2020-02-15 04:07:40
"88",88,48,22,78,94305,3,1.1,1,0,0,0,0,1,0,25.6174847111106,0,0,2020-02-15 04:10:33
"89",89,65,41,51,94117,2,1.1,1,0,0,0,0,1,0,18.5782496584579,0,0,2020-02-15 04:13:26
"90",90,25,-1,113,94303,4,2.3,3,0,0,0,0,0,1,25.8236323483288,0,0,2020-02-15 04:16:19
"91",91,55,30,118,90277,4,5.6,2,0,1,0,0,1,0,23.3713563391939,0,0,2020-02-15 04:19:12
"92",92,35,10,29,94105,4,1.1,3,0,0,0,0,1,0,23.5357813443989,0,0,2020-02-15 04:22:04
"93",93,43,19,34,94305,3,0.6,2,0,0,0,0,0,0,25.5225071776658,0,0,2020-02-15 04:24:57
"94",94,60,34,64,94550,2,1.7,3,236,0,1,0,1,0,18.6124169826508,0,0,2020-02-15 04:27:50
"95",95,65,39,121,92612,1,2,1,0,0,0,0,0,0,29.1558111365885,0,0,2020-02-15 04:30:43
"96",96,38,12,48,95617,4,0.2,3,0,0,0,0,1,0,25.9308293601498,0,0,2020-02-15 04:33:36
"97",97,41,15,80,95014,1,5.2,1,0,0,0,0,0,0,12.6254029897973,0,0,2020-02-15 04:36:28
"98",98,54,28,161,92121,1,2.9,1,0,0,0,0,1,0,12.6930154301226,0,0,2020-02-15 04:39:21
"99",99,49,23,94,92374,1,0.3,1,0,0,0,0,1,0,10.0212716311216,0,0,2020-02-15 04:42:14
"100",100,66,41,15,91711,3,0.1,3,0,0,0,0,1,0,13.7192075047642,0,0,2020-02-15 04:45:07
"101",101,48,23,74,94080,1,1.2,1,0,0,0,0,1,0,21.733416756615,0,0,2020-02-15 04:48:00
"102",102,61,36,30,94608,3,1.3,2,0,0,0,0,0,0,14.8695995379239,0,0,2020-02-15 04:50:52
"103",103,53,23,44,93555,3,1,3,198,0,0,0,1,1,1460.03820938058,5,0.441176470588235,2020-02-15 04:53:45
"104",104,43,18,22,95670,2,0.3,2,0,0,0,0,1,0,26.6304208477959,0,0,2020-02-15 04:56:38
"105",105,56,32,38,93311,4,1.3,1,166,0,0,0,1,1,1332.62621536851,5,0.441176470588235,2020-02-15 04:59:31
"106",106,24,0,35,94704,3,0.1,2,0,0,1,0,1,0,24.4351453660056,0,0,2020-02-15 05:02:24
"107",107,43,17,69,92717,4,2.9,1,0,0,0,0,1,1,16.5160101186484,0,0,2020-02-15 05:05:16
"108",108,42,18,43,92037,1,0.7,1,136,0,0,0,0,0,19.8860006593168,0,0,2020-02-15 05:08:09
"109",109,33,7,32,95136,1,0.6,3,166,0,0,0,1,0,1387.31666011736,5,0.441176470588235,2020-02-15 05:11:02
"110",110,43,17,49,94542,1,2.8,1,0,0,0,0,1,0,27.5873158639297,0,0,2020-02-15 05:13:55
"111",111,41,14,9,91330,3,1,2,0,0,0,0,0,0,24.4536264939234,0,0,2020-02-15 05:16:48
"112",112,62,38,45,94143,4,1.3,2,0,0,0,0,1,0,15.3369671432301,0,0,2020-02-15 05:19:40
"113",113,40,15,82,91775,3,1,1,309,0,0,0,0,0,20.1116221491247,0,0,2020-02-15 05:22:33
"114",114,58,34,92,92703,2,2.8,1,103,0,0,0,0,0,15.0303665548563,0,0,2020-02-15 05:25:26
"115",115,39,14,39,92354,3,0.5,3,0,0,0,0,1,0,26.6284486185759,0,0,2020-02-15 05:28:19
"116",116,65,40,81,92024,3,1.8,2,0,0,0,0,1,0,22.458682032302,0,0,2020-02-15 05:31:12
"117",117,54,29,35,92831,1,1.5,2,0,0,0,0,1,0,14.6232935367152,0,0,2020-02-15 05:34:04
"118",118,58,33,61,92833,2,2.3,3,193,0,0,0,1,0,15.7955834362656,0,0,2020-02-15 05:36:57
"119",119,41,16,73,92647,3,3,1,0,0,0,0,1,0,28.8307631667703,0,0,2020-02-15 05:39:50
"120",120,32,7,112,94304,1,4.6,1,366,0,0,0,0,0,29.3523565866053,0,0,2020-02-15 05:42:43
"121",121,54,29,12,90057,2,0.2,3,0,0,0,0,1,0,24.2800406320021,0,0,2020-02-15 05:45:36
"122",122,52,26,38,91711,3,0.9,3,0,0,0,0,1,0,13.1261509796605,0,0,2020-02-15 05:48:28
"123",123,58,32,73,94523,2,0.7,2,0,0,0,0,1,1,25.4948956239969,0,0,2020-02-15 05:51:21
"124",124,37,13,84,92130,1,3.6,2,0,0,1,0,0,0,23.6347342934459,0,0,2020-02-15 05:54:14
"125",125,39,15,78,92121,4,2.4,1,118,0,0,0,1,0,14.1080671176314,0,0,2020-02-15 05:57:07
"126",126,60,35,80,91301,3,0.5,1,0,0,0,0,1,0,27.6639907993376,0,0,2020-02-15 06:00:00
"127",127,31,5,115,92096,2,1.3,1,101,0,0,0,1,1,22.7671334845945,0,0,2020-02-15 06:02:52
"128",128,34,8,82,92646,1,2.7,2,251,0,0,0,1,0,21.8940797960386,0,0,2020-02-15 06:05:45
"129",129,38,14,74,92182,2,0,1,0,0,1,0,1,0,29.0074933832511,0,0,2020-02-15 06:08:38
"130",130,41,16,70,92131,3,0.5,3,0,0,0,0,0,1,28.4751838585362,0,0,2020-02-15 06:11:31
"131",131,28,4,81,94801,3,1.5,1,276,0,0,0,1,0,21.6771499719471,0,0,2020-02-15 06:14:24
"132",132,58,34,149,93720,4,7.2,2,0,1,0,1,1,1,12.8674369491637,0,0,2020-02-15 06:17:16
"133",133,31,1,51,90840,2,1.75,3,0,0,0,0,0,0,20.5561758251861,0,0,2020-02-15 06:20:09
"134",134,30,4,39,90245,3,1.1,2,0,0,0,0,1,0,12.6287904614583,0,0,2020-02-15 06:23:02
"135",135,53,29,98,95035,3,1.8,2,0,0,0,0,0,0,24.0159354405478,0,0,2020-02-15 06:25:55
"136",136,58,33,45,93010,4,2.1,1,0,0,0,0,1,1,24.0318582439795,0,0,2020-02-15 06:28:48
"137",137,59,32,49,95035,4,2.5,2,0,0,0,0,1,0,17.223789752461,0,0,2020-02-15 06:31:40
"138",138,49,25,128,95054,2,0.4,1,0,0,0,0,0,0,11.4480378339067,0,0,2020-02-15 06:34:33
"139",139,59,34,42,94928,3,1.5,1,0,0,1,1,0,1,14.754651710391,0,0,2020-02-15 06:37:26
"140",140,59,35,18,93305,1,1.2,3,0,0,0,0,1,0,17.2538655111566,0,0,2020-02-15 06:40:19
"141",141,51,25,31,90245,2,0.4,3,161,0,0,0,1,1,1368.52558781393,5,0.441176470588235,2020-02-15 06:43:12
"142",142,35,11,58,95831,3,2,1,149,0,0,0,1,1,16.179534625262,0,0,2020-02-15 06:46:04
"143",143,33,9,48,91770,1,2.1,3,0,0,0,0,0,1,13.1780096888542,0,0,2020-02-15 06:48:57
"144",144,25,1,54,94117,4,1.6,1,0,0,0,0,1,1,19.4718939019367,0,0,2020-02-15 06:51:50
"145",145,49,23,70,92093,2,1.5,2,0,0,0,0,0,0,28.7069170223549,0,0,2020-02-15 06:54:43
"146",146,59,35,124,90007,1,7.4,1,0,0,0,0,0,1,17.5001977011561,0,0,2020-02-15 06:57:36
"147",147,46,19,84,94102,1,2.67,2,0,0,0,0,1,1,26.0349058080465,0,0,2020-02-15 07:00:28
"148",148,50,25,83,94542,4,3.6,3,188,0,0,0,1,0,16.4110566256568,0,0,2020-02-15 07:03:21
"149",149,52,28,163,91423,2,0.4,1,116,0,0,0,1,0,12.8194400295615,0,0,2020-02-15 07:06:14
"150",150,48,22,42,93955,3,2.2,2,0,0,0,0,0,0,10.8484230889007,0,0,2020-02-15 07:09:07
"151",151,46,22,118,94107,2,7.5,1,0,0,0,1,1,1,23.9920603996143,0,0,2020-02-15 07:12:00
"152",152,26,0,132,92834,3,6.5,3,0,1,0,0,0,1,25.5587510857731,0,0,2020-02-15 07:14:52
"153",153,57,32,24,93117,1,1.3,1,0,0,0,0,1,1,23.8932023430243,0,0,2020-02-15 07:17:45
"154",154,60,36,22,94551,2,1,1,0,0,1,1,1,1,29.1373670147732,0,0,2020-02-15 07:20:38
"155",155,54,29,58,92612,4,1.3,3,0,0,0,0,0,0,29.592514494434,0,0,2020-02-15 07:23:31
"156",156,24,0,60,94596,4,1.6,1,0,0,0,0,1,0,24.318244853057,0,0,2020-02-15 07:26:24
"157",157,26,0,15,92131,4,0.4,1,0,0,0,0,0,1,29.3789636902511,0,0,2020-02-15 07:29:16
"158",158,41,17,83,94025,4,2.67,1,0,0,0,0,1,1,28.9811612619087,0,0,2020-02-15 07:32:09
"159",159,32,6,79,94720,2,1.5,3,0,0,0,0,1,1,22.9002731479704,0,0,2020-02-15 07:35:02
"160",160,61,35,41,94545,4,1.7,2,0,0,1,0,1,0,24.5954445516691,0,0,2020-02-15 07:37:55
"161",161,29,0,134,95819,4,6.5,3,0,1,0,0,0,0,15.7687623379752,0,0,2020-02-15 07:40:48
"162",162,61,35,80,95053,2,2.8,1,0,0,0,0,1,0,21.4387701544911,0,0,2020-02-15 07:43:40
"163",163,38,12,52,90036,1,2,1,0,0,0,0,0,0,15.8138554124162,0,0,2020-02-15 07:46:33
"164",164,28,4,70,91125,4,2.6,1,0,0,0,0,1,0,25.5860272655264,0,0,2020-02-15 07:49:26
"165",165,53,27,92,95120,2,1.1,1,0,0,1,0,0,0,14.5310496352613,0,0,2020-02-15 07:52:19
"166",166,27,1,43,94706,1,1.5,1,0,0,0,0,1,0,10.0662062317133,0,0,2020-02-15 07:55:12
"167",167,25,1,21,95827,3,1,2,0,0,0,0,0,0,29.5161697780713,0,0,2020-02-15 07:58:04
"168",168,33,9,23,94305,3,0.9,3,0,0,0,0,1,1,27.2032987978309,0,0,2020-02-15 08:00:57
"169",169,50,26,13,91320,4,1,1,0,0,0,0,1,0,12.2410840447992,0,0,2020-02-15 08:03:50
"170",170,27,1,112,90503,4,2.1,3,0,0,0,0,0,1,24.3360138963908,0,0,2020-02-15 08:06:43
"171",171,27,1,138,90250,2,2,1,0,0,0,0,1,0,14.6304387319833,0,0,2020-02-15 08:09:36
"172",172,52,28,11,95817,3,0.4,1,0,0,1,0,0,0,22.9267613543198,0,0,2020-02-15 08:12:28
"173",173,38,13,171,92717,2,7.8,1,0,0,0,0,1,0,15.5774116655812,0,0,2020-02-15 08:15:21
"174",174,58,34,42,90095,4,1.5,1,0,0,0,0,1,1,24.0952851669863,0,0,2020-02-15 08:18:14
"175",175,42,17,168,95503,2,7.9,2,0,1,0,0,1,0,22.9314611433074,0,0,2020-02-15 08:21:07
"176",176,45,20,85,91711,4,1.1,2,0,0,1,0,1,0,15.159511687234,0,0,2020-02-15 08:24:00
"177",177,52,25,44,93111,3,1,2,135,0,0,0,1,0,23.1190208299085,0,0,2020-02-15 08:26:52
"178",178,29,3,65,94132,4,1.8,2,244,0,0,0,0,0,27.0632251119241,0,0,2020-02-15 08:29:45
"179",179,53,29,24,95818,4,0.2,1,0,0,0,0,1,1,16.7021828051656,0,0,2020-02-15 08:32:38
"180",180,62,37,11,91942,1,0.1,1,0,0,0,0,1,0,24.8642118088901,0,0,2020-02-15 08:35:31
"181",181,51,27,38,90401,2,1,3,164,0,0,0,1,0,1462.04464682378,5,0.441176470588235,2020-02-15 08:38:24
"182",182,36,12,10,93524,4,0.7,2,81,0,0,0,0,0,16.9765011081472,0,0,2020-02-15 08:41:16
"183",183,24,0,135,95133,1,1.5,1,0,0,0,0,1,0,24.5529281534255,0,0,2020-02-15 08:44:09
"184",184,29,3,148,92173,3,4.1,1,0,1,0,0,1,0,23.9292146917433,0,0,2020-02-15 08:47:02
"185",185,52,26,63,92717,2,1.5,2,0,0,1,0,1,0,11.1714405240491,0,0,2020-02-15 08:49:55
"186",186,39,14,115,91320,1,1,3,0,0,0,0,1,0,12.308183494024,0,0,2020-02-15 08:52:48
"187",187,48,23,45,95616,1,0.3,1,0,0,0,0,1,1,10.8171719079837,0,0,2020-02-15 08:55:40
"188",188,46,21,159,94305,3,1.9,3,315,1,0,0,1,0,24.5941957272589,0,0,2020-02-15 08:58:33
"189",189,64,40,169,91320,2,2.1,1,122,0,0,0,1,0,19.6311772847548,0,0,2020-02-15 09:01:26
"190",190,55,29,112,94043,2,1.4,1,0,0,0,0,1,0,19.3430512398481,0,0,2020-02-15 09:04:19
"191",191,60,36,93,92521,1,4.3,1,0,0,0,0,1,0,26.9063436286524,0,0,2020-02-15 09:07:12
"192",192,51,25,29,90404,1,0.3,3,140,0,0,0,0,0,28.5681903734803,0,0,2020-02-15 09:10:04
"193",193,50,23,85,92122,1,2.67,2,0,0,0,0,1,0,15.2844814630225,0,0,2020-02-15 09:12:57
"194",194,48,24,21,93118,4,0.6,1,0,0,0,0,1,1,27.6182300271466,0,0,2020-02-15 09:15:50
"195",195,53,29,144,92697,2,6.8,1,0,0,0,0,1,0,23.6663682991639,0,0,2020-02-15 09:18:43
"196",196,34,10,13,94577,4,1,1,95,0,1,0,1,0,19.8809262970462,0,0,2020-02-15 09:21:36
"197",197,48,24,165,93407,1,5,1,0,0,0,0,0,1,20.494382143952,0,0,2020-02-15 09:24:28
"198",198,55,31,9,91345,4,0.7,1,89,0,0,0,1,0,14.5459167612717,0,0,2020-02-15 09:27:21
"199",199,27,3,59,94123,4,0,1,90,0,1,0,1,0,19.9556940840557,0,0,2020-02-15 09:30:14
